Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,Los Angeles,CA,90015,LOS ANGELES,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,7,"1401 SOUTH GRAND AVENUE
Los Angeles, CA 90015
(34.037212, -118.265363)"
50586,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVE,Chino,CA,91710,SAN BERNARDINO,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5,15,"5451 WALNUT AVE
Chino, CA 91710
(34.026348, -117.685358)"
70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,Norwich,CT,6360,NEW LONDON,6 out of 10,4 out of 9,6 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,7 out of 9,7 out of 10,0 out of 10,1 out of 9,1 out of 10,28,14,"326 WASHINGTON ST
Norwich, CT 06360
(41.543402, -72.086747)"
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,Santa Monica,CA,90404,LOS ANGELES,2 out of 10,5 out of 9,5 out of 10,4 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,6 out of 10,6 out of 9,6 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,6 out of 9,7 out of 10,31,16,"1250 16TH STREET
Santa Monica, CA 90404
(34.027776, -118.486315)"
50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,Los Angeles,CA,90048,LOS ANGELES,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,3 out of 9,7 out of 10,12,16,"8700 BEVERLY BLVD
Los Angeles, CA 90048
(34.076826, -118.380405)"
100264,OAK HILL HOSPITAL,11375 CORTEZ BLVD,Brooksville,FL,34613,HERNANDO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,8,14,"11375 CORTEZ BLVD
Brooksville, FL 34613
(28.533305, -82.534495)"
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,Pontiac,IL,61764,LIVINGSTON,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,0 out of 9,8 out of 10,7 out of 10,2 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,0 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,2 out of 9,4 out of 10,52,20,"2500 WEST REYNOLDS STREET
Pontiac, IL 61764
(40.873388, -88.680466)"
60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,Pueblo,CO,81004,PUEBLO,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,12,17,"1008 MINNEQUA AVE
Pueblo, CO 81004
(38.233216, -104.622265)"
100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,Sanford,FL,32771,SEMINOLE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,14,"1401 W SEMINOLE BLVD
Sanford, FL 32771
(28.816202, -81.283577)"
110050,MURRAY MEDICAL CENTER,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",Chatsworth,GA,30705,MURRAY,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406
Chatsworth, GA 30705
(34.779231, -84.783117)"
60034,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVENUE,Englewood,CO,80113,ARAPAHOE,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,8,15,"501 E HAMPDEN AVENUE
Englewood, CO 80113
(39.653136, -104.98171)"
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,Gilbert,AZ,85296,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,11,14,"3555 SOUTH VAL VISTA DRIVE
Gilbert, AZ 85296
(33.286661, -111.755311)"
150001,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,Franklin,IN,46131,JOHNSON,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,7 out of 10,4 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,37,20,"1125 W JEFFERSON ST
Franklin, IN 46131
(39.480598, -86.076663)"
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,Russellville,AR,72801,POPE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15,"1808 WEST MAIN STREET
Russellville, AR 72801
(35.28286, -93.149908)"
140233,SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,Rockford,IL,61108,WINNEBAGO,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,20,16,"5666 EAST STATE STREET
Rockford, IL 61108
(42.265778, -89.0073)"
100206,MEMORIAL HOSPITAL OF TAMPA,2901 W SWANN AVE,Tampa,FL,33609,HILLSBOROUGH,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,7,"2901 W SWANN AVE
Tampa, FL 33609
(27.937443, -82.489816)"
50234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,Coronado,CA,92118,SAN DIEGO,7 out of 10,0 out of 9,7 out of 10,6 out of 10,4 out of 9,6 out of 10,8 out of 10,2 out of 9,8 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,9 out of 10,6 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,3 out of 9,9 out of 10,60,20,"250 PROSPECT PLACE
Coronado, CA 92118
(32.694257, -117.167947)"
140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,Springfield,IL,62769,SANGAMON,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,3 out of 10,4 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,26,19,"800 E CARPENTER ST
Springfield, IL 62769
(39.807289, -89.644833)"
60006,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,Montrose,CO,81401,MONTROSE,1 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,8 out of 10,5 out of 9,8 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,4 out of 9,7 out of 10,6 out of 10,7 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,36,19,"800 S 3RD ST
Montrose, CO 81401
(38.480881, -107.868769)"
100319,FLORIDA HOSPITAL WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,Wesley Chapel,FL,33544,PASCO,6 out of 10,Not Available,6 out of 10,2 out of 10,Not Available,2 out of 10,6 out of 10,Not Available,6 out of 10,5 out of 10,Not Available,5 out of 10,4 out of 10,Not Available,4 out of 10,9 out of 10,Not Available,9 out of 10,8 out of 10,Not Available,8 out of 10,10 out of 10,Not Available,10 out of 10,50,20,"2600 BRUCE B DOWNS BLVD
Wesley Chapel, FL 33544
(28.193718, -82.353402)"
50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,Manteca,CA,95336,SAN JOAQUIN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,13,"1205 E NORTH STREET
Manteca, CA 95336
(37.801087, -121.19691)"
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,Dalton,GA,30720,WHITFIELD,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4,14,"1200 MEMORIAL DRIVE
Dalton, GA 30720
(34.788884, -84.983657)"
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,Show Low,AZ,85901,NAVAJO,2 out of 10,1 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,9 out of 10,8 out of 9,9 out of 10,3 out of 10,2 out of 9,3 out of 10,21,18,"2200 EAST SHOW LOW LAKE ROAD
Show Low, AZ 85901
(34.201967, -110.01839)"
100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,Hollywood,FL,33021,BROWARD,2 out of 10,1 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,16,19,"3501 JOHNSON ST
Hollywood, FL 33021
(26.018263, -80.178792)"
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,Bay Minette,AL,36507,BALDWIN,5 out of 10,2 out of 9,5 out of 10,8 out of 10,5 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,43,20,"1815 HAND AVENUE
Bay Minette, AL 36507
(30.902492, -87.783318)"
140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,Peoria,IL,61354,PEORIA,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,5 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,16,15,"5409 N KNOXVILLE AVE
Peoria, IL 61354
(40.752496, -89.593254)"
50708,FRESNO SURGICAL HOSPITAL,6125 NORTH FRESNO ST,Fresno,CA,93710,FRESNO,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,75,20,"6125 NORTH FRESNO ST
Fresno, CA 93710
(36.824644, -119.781416)"
110146,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,Saint Marys,GA,31558,CAMDEN,6 out of 10,6 out of 9,6 out of 10,2 out of 10,4 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,6 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,34,19,"2000 DAN PROCTOR DRIVE
Saint Marys, GA 31558
(30.781392, -81.615795)"
50352,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,South Lake Tahoe,CA,96150,ELDORADO,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,23,19,"2170 SOUTH AVENUE
South Lake Tahoe, CA 96150
(38.912337, -119.997711)"
190116,MOREHOUSE GENERAL HOSPITAL,323 W WALNUT,Bastrop,LA,71220,MOREHOUSE,3 out of 10,3 out of 9,3 out of 10,8 out of 10,0 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,4 out of 9,7 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,34,17,"323 W WALNUT
Bastrop, LA 71220
(32.775311, -91.917671)"
100315,VIERA HOSPITAL,8745 N WICKHAM RD,Melbourne,FL,32940,BREVARD,9 out of 10,8 out of 9,9 out of 10,6 out of 10,6 out of 9,6 out of 10,7 out of 10,7 out of 9,7 out of 10,6 out of 10,4 out of 9,6 out of 10,8 out of 10,6 out of 9,8 out of 10,8 out of 10,6 out of 9,8 out of 10,6 out of 10,6 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,60,20,"8745 N WICKHAM RD
Melbourne, FL 32940
(28.229589, -80.732477)"
50174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,Santa Rosa,CA,95405,SONOMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,12,"1165 MONTGOMERY DR
Santa Rosa, CA 95405
(38.442954, -122.701112)"
60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,Lakewood,CO,80228,JEFFERSON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,16,16,"11600 WEST 2ND PLACE
Lakewood, CO 80228
(39.717951, -105.128562)"
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,Hayward,CA,94545,ALAMEDA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3,11,"27200 CALAROGA AVE
Hayward, CA 94545
(37.63291, -122.089742)"
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,San Pedro,CA,90732,LOS ANGELES,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,8,15,"1300 W 7TH ST
San Pedro, CA 90732
(33.737928, -118.305005)"
140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,Chicago,IL,60625,COOK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5,13,"5145 N CALIFORNIA AVE
Chicago, IL 60625
(41.975243, -87.698917)"
50438,HUNTINGTON MEMORIAL HOSPITAL,100 W  CALIFORNIA BLVD,Pasadena,CA,91109,LOS ANGELES,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,1 out of 9,8 out of 10,17,17,"100 W CALIFORNIA BLVD
Pasadena, CA 91109
(34.135761, -118.151803)"
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,Montgomery,AL,36117,MONTGOMERY,4 out of 10,2 out of 9,4 out of 10,6 out of 10,4 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,7 out of 9,8 out of 10,6 out of 10,4 out of 9,6 out of 10,35,20,"400 TAYLOR ROAD
Montgomery, AL 36117
(32.377319, -86.172512)"
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,Tucson,AZ,85711,PIMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15,"350 NORTH WILMOT ROAD
Tucson, AZ 85711
(32.225946, -110.857838)"
100307,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,4201 BELFORT RD,Jacksonville,FL,32216,DUVAL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,10,14,"4201 BELFORT RD
Jacksonville, FL 32216
(30.253103, -81.584126)"
50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVE,Berkeley,CA,94705,ALAMEDA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,6,"2450 ASHBY AVE
Berkeley, CA 94705
(37.856488, -122.257329)"
50315,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,Bakersfield,CA,93306,KERN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,4,0,"1700 MOUNT VERNON AVENUE
Bakersfield, CA 93306
(35.380964, -118.967546)"
70039,MASONICARE HEALTH CENTER,22 MASONIC AVE,Wallingford,CT,6492,NEW HAVEN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"22 MASONIC AVE
Wallingford, CT 06492
(41.459676, -72.83731)"
60054,COMMUNITY HOSPITAL,2351 G RD,Grand Junction,CO,81501,MESA,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,12,13,"2351 G RD
Grand Junction, CO 81501
(39.106293, -108.617378)"
50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,Escondido,CA,92025,SAN DIEGO,3 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,21,18,"555 E VALLEY PARKWAY
Escondido, CA 92025
(33.125934, -117.076188)"
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,Palmer,AK,99645,MATANUSKA-SUSITNA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,10,14,"2500 SOUTH WOODWORTH LOOP
Palmer, AK 99645
(61.561731, -149.260015)"
100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,Sebring,FL,33870,HIGHLANDS,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,3 out of 9,3 out of 10,26,14,"3600 S HIGHLANDS AVE
Sebring, FL 33870
(27.466368, -81.433704)"
50357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,Santa Barbara,CA,93111,SANTA BARBARA,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,1 out of 9,2 out of 10,9 out of 10,4 out of 9,9 out of 10,8 out of 10,2 out of 9,8 out of 10,51,20,"351 S PATTERSON AVE
Santa Barbara, CA 93111
(34.433281, -119.809524)"
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,Marianna ,FL,32446,JACKSON,3 out of 10,0 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,29,20,"4250 HOSPITAL DR
Marianna, FL 32446
(30.78748, -85.240932)"
50624,HENRY MAYO NEWHALL  HOSPITAL,23845  MCBEAN PKWY,Valencia,CA,91355,LOS ANGELES,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,17,12,"23845 MCBEAN PKWY
Valencia, CA 91355
(34.396342, -118.553143)"
